DAMAN

3-349636933681  UIM|IN121137590|1046:Invalid request to modify package, given package is already in use. Package name : INETNLOY30trafficProfileUp : UP-11264KB0trafficProfileDown : DOWN-33792KB0lineProfile : INDIHOME  Eskalasi DAMAN  DENPASAR
3-342283730609  UIM|IN104099972|1119:S-Vlan is missing for 19305280_152627200213_INTERNET  Eskalasi DAMAN  KEDIRI
3-342301338016  UIM|IN104110382|1119:S-Vlan is missing for 19109447_152606202701_INTERNET  Eskalasi DAMAN  KEDIRI
3-342474469452  UIM|IN104264192|1119:S-Vlan is missi  Eskalasi DAMAN  KEDIRI
3-344270156288  UIM|IN105842990|1057:Service_Port is missing for 31059649_152735205048_INTERNET  Eskalasi DAMAN  KEDIRI
3-342461801462  UIM|IN104244853|1119:S-Vlan is missing for 19269614_152630202  Eskalasi DAMAN  MADIUN
3-342467069862  UIM|IN104246705|1060:CPE is missing for 30987614_152634200849_INTERNET  Eskalasi DAMAN  MADIUN
3-342255009086  UIM|IN104074881|1060:CPE is missing for 31280906_152431208488_INTERNET  Eskalasi DAMAN  MADURA
3-342255187665  UIM|IN104074993|1119:S-Vlan is missing for 30594191_152431206267_INTERNET  Eskalasi DAMAN  MADURA
3-342255735749  UIM|IN104075257|1060:CPE is missing for 30310178_152435202297_INTERNET  Eskalasi DAMAN  MADURA
3-342256787243  UIM|IN104075663|1119:S-Vlan is missing for 30791494_152459204832_INTERNET  Eskalasi DAMAN  MADURA
3-342257846839  UIM|IN104076137|1060:CPE is missing for 30947082_152431208624_INTERNET  Eskalasi DAMAN  MADURA
3-342269872578  UIM|IN104086560|1060:CPE is missing for 31178239_152435200997_INTERNET  Eskalasi DAMAN  MADURA
3-342270122050  UIM|IN104086794  Eskalasi DAMAN  MADURA
3-342270503750  UIM|IN104087260|The Inventory item (id=40893357) has a configuration that is associated to another BI (id=1026301848).  Eskalasi DAMAN  MADURA
3-342293844208  UIM|IN104105451|1060:CPE is missing for 16232729_152431205779_INTERNET  Eskalasi DAMAN  MADURA
3-342308951670  UIM|IN104114603|1119:S-Vlan is missing for 31235272_152435902563_INTERN  Eskalasi DAMAN  MADURA
3-342462790472  UIM|IN104245161|1119:S-Vlan is missi  Eskalasi DAMAN  MADURA
